,co,no,no2,o3,so2,pm2_5,pm10,nh3,date_period,date_day,date_month,date_year,name_month,date_hour
17962,287.06,0.52,3.26,4.65,0.29,0.77,0.88,0.29,2023-01-28 10:00:00,28,1,2023,January,10
17963,277.04,0.12,1.95,6.17,0.22,0.5,0.58,0.27,2023-01-28 11:00:00,28,1,2023,January,11
17964,270.37,0.06,1.33,5.54,0.19,0.5,0.57,0.27,2023-01-28 12:00:00,28,1,2023,January,12
17965,267.03,0.06,1.15,4.78,0.16,0.5,0.56,0.27,2023-01-28 13:00:00,28,1,2023,January,13
17966,263.69,0.08,1.1,4.43,0.15,0.5,0.55,0.27,2023-01-28 14:00:00,28,1,2023,January,14
17967,263.69,0.09,0.95,3.84,0.13,0.5,0.54,0.26,2023-01-28 15:00:00,28,1,2023,January,15
17968,273.7,0.19,1.8,3.31,0.17,0.5,0.55,0.31,2023-01-28 16:00:00,28,1,2023,January,16
17969,290.39,0.68,3.08,1.63,0.24,0.5,0.57,0.38,2023-01-28 17:00:00,28,1,2023,January,17
17970,300.41,1.75,3.17,0.5,0.28,0.5,0.59,0.4,2023-01-28 18:00:00,28,1,2023,January,18
17971,323.77,4.92,2.51,0.09,0.39,0.8,0.97,0.52,2023-01-28 19:00:00,28,1,2023,January,19
17972,343.8,8.27,2.08,0.02,0.51,1.26,1.55,0.62,2023-01-28 20:00:00,28,1,2023,January,20
17973,357.15,10.51,1.95,0.0,0.6,1.69,2.09,0.8,2023-01-28 21:00:00,28,1,2023,January,21
17974,363.83,11.73,1.88,0.0,0.7,2.08,2.57,1.03,2023-01-28 22:00:00,28,1,2023,January,22
17975,360.49,12.18,1.69,0.0,0.64,2.31,2.88,0.93,2023-01-28 23:00:00,28,1,2023,January,23
17976,343.8,11.29,1.56,0.0,0.46,2.22,2.76,0.76,2023-01-29 00:00:00,29,1,2023,January,0
17977,290.39,4.08,2.4,0.06,0.39,1.31,1.57,0.49,2023-01-29 01:00:00,29,1,2023,January,1
17978,277.04,2.12,2.66,0.07,0.36,1.12,1.33,0.46,2023-01-29 02:00:00,29,1,2023,January,2
17979,267.03,1.2,2.7,0.15,0.34,1.02,1.21,0.42,2023-01-29 03:00:00,29,1,2023,January,3
17980,257.02,0.8,2.44,0.17,0.3,1.02,1.19,0.4,2023-01-29 04:00:00,29,1,2023,January,4
17981,250.34,0.84,2.18,0.1,0.27,1.11,1.29,0.42,2023-01-29 05:00:00,29,1,2023,January,5
17982,247.0,1.22,2.01,0.06,0.27,1.23,1.41,0.45,2023-01-29 06:00:00,29,1,2023,January,6
17983,253.68,2.65,1.76,0.11,0.35,1.33,1.55,0.49,2023-01-29 07:00:00,29,1,2023,January,7
17984,273.7,4.58,2.59,2.26,0.44,1.43,1.75,0.48,2023-01-29 08:00:00,29,1,2023,January,8
17985,287.06,2.77,5.31,20.74,0.48,1.58,1.93,0.49,2023-01-29 09:00:00,29,1,2023,January,9
17986,273.7,0.26,1.33,25.03,0.23,0.61,0.73,0.24,2023-01-29 10:00:00,29,1,2023,January,10
17987,277.04,0.11,0.76,22.53,0.19,0.5,0.59,0.23,2023-01-29 11:00:00,29,1,2023,January,11
17988,277.04,0.07,0.65,18.42,0.17,0.5,0.59,0.25,2023-01-29 12:00:00,29,1,2023,January,12
17989,287.06,0.04,0.59,18.24,0.13,0.5,0.56,0.22,2023-01-29 13:00:00,29,1,2023,January,13
17990,307.08,0.04,0.57,21.82,0.11,0.5,0.54,0.21,2023-01-29 14:00:00,29,1,2023,January,14
17991,317.1,0.04,0.5,23.6,0.09,0.5,0.53,0.23,2023-01-29 15:00:00,29,1,2023,January,15
17992,323.77,0.05,0.5,24.32,0.09,0.5,0.54,0.25,2023-01-29 16:00:00,29,1,2023,January,16
17993,327.11,0.06,0.67,24.32,0.1,0.5,0.54,0.28,2023-01-29 17:00:00,29,1,2023,January,17
17994,330.45,0.06,0.89,23.96,0.11,0.5,0.54,0.31,2023-01-29 18:00:00,29,1,2023,January,18
17995,370.5,0.29,6.08,11.09,0.41,0.84,1.04,0.81,2023-01-29 19:00:00,29,1,2023,January,19
17996,410.56,1.41,8.65,1.72,0.64,1.54,1.98,1.16,2023-01-29 20:00:00,29,1,2023,January,20
17997,417.23,3.07,7.37,0.27,0.66,2.0,2.63,1.04,2023-01-29 21:00:00,29,1,2023,January,21
17998,407.22,4.14,5.83,0.12,0.64,2.24,3.02,0.85,2023-01-29 22:00:00,29,1,2023,January,22
17999,397.21,5.48,4.41,0.04,0.57,2.46,3.33,0.74,2023-01-29 23:00:00,29,1,2023,January,23
18000,390.53,6.76,3.38,0.02,0.42,2.66,3.52,0.74,2023-01-30 00:00:00,30,1,2023,January,0
18001,377.18,6.93,2.96,0.02,0.32,2.69,3.31,0.79,2023-01-30 01:00:00,30,1,2023,January,1
18002,363.83,6.76,2.38,0.01,0.28,2.71,3.11,0.53,2023-01-30 02:00:00,30,1,2023,January,2
18003,337.12,5.2,2.16,0.11,0.26,2.49,2.75,0.4,2023-01-30 03:00:00,30,1,2023,January,3
18004,313.76,0.61,3.17,1.59,0.26,1.7,1.85,0.41,2023-01-30 04:00:00,30,1,2023,January,4
18005,300.41,0.15,2.48,1.9,0.25,1.56,1.72,0.45,2023-01-30 05:00:00,30,1,2023,January,5
18006,300.41,0.36,2.48,1.5,0.3,1.64,1.83,0.57,2023-01-30 06:00:00,30,1,2023,January,6
18007,313.76,1.87,3.17,0.95,0.5,1.85,2.16,0.78,2023-01-30 07:00:00,30,1,2023,January,7
18008,350.48,4.47,4.84,3.31,0.64,2.12,2.58,0.72,2023-01-30 08:00:00,30,1,2023,January,8
18009,367.16,3.52,7.63,15.02,0.66,2.23,2.75,0.63,2023-01-30 09:00:00,30,1,2023,January,9
18010,323.77,0.15,2.87,19.31,0.34,0.98,1.16,0.36,2023-01-30 10:00:00,30,1,2023,January,10
18011,320.43,0.09,1.88,17.7,0.31,0.69,0.85,0.38,2023-01-30 11:00:00,30,1,2023,January,11
18012,320.43,0.08,1.44,17.7,0.3,0.58,0.76,0.41,2023-01-30 12:00:00,30,1,2023,January,12
18013,320.43,0.09,1.01,19.13,0.24,0.52,0.73,0.37,2023-01-30 13:00:00,30,1,2023,January,13
18014,327.11,0.12,0.8,23.25,0.21,0.51,0.78,0.34,2023-01-30 14:00:00,30,1,2023,January,14
18015,330.45,0.14,0.72,26.11,0.19,0.51,0.8,0.34,2023-01-30 15:00:00,30,1,2023,January,15
18016,357.15,0.61,2.91,33.62,0.34,0.78,1.13,0.58,2023-01-30 16:00:00,30,1,2023,January,16
18017,410.56,1.13,7.37,48.64,0.57,1.44,1.9,0.92,2023-01-30 17:00:00,30,1,2023,January,17
18018,467.3,1.03,12.17,50.07,0.75,2.22,2.8,1.19,2023-01-30 18:00:00,30,1,2023,January,18
18019,507.35,0.19,15.94,25.75,0.95,2.87,3.64,1.44,2023-01-30 19:00:00,30,1,2023,January,19
18020,520.71,0.21,16.96,7.24,1.07,3.35,4.39,1.69,2023-01-30 20:00:00,30,1,2023,January,20
18021,507.35,0.8,15.42,2.19,1.06,3.61,4.87,1.79,2023-01-30 21:00:00,30,1,2023,January,21
18022,473.98,1.69,13.54,0.7,1.22,3.58,4.97,2.18,2023-01-30 22:00:00,30,1,2023,January,22
18023,453.95,3.27,12.51,0.15,1.56,3.53,5.05,3.07,2023-01-30 23:00:00,30,1,2023,January,23
18024,447.27,4.69,11.65,0.04,1.68,3.46,4.99,3.93,2023-01-31 00:00:00,31,1,2023,January,0
18025,433.92,5.2,10.62,0.02,1.68,3.4,4.88,4.75,2023-01-31 01:00:00,31,1,2023,January,1
18026,403.88,4.81,9.0,0.02,1.56,3.32,4.73,5.07,2023-01-31 02:00:00,31,1,2023,January,2
18027,370.5,3.8,6.94,0.06,1.16,3.14,4.42,3.89,2023-01-31 03:00:00,31,1,2023,January,3
18028,350.48,2.07,5.57,0.1,0.69,2.87,3.85,1.6,2023-01-31 04:00:00,31,1,2023,January,4
18029,333.79,1.79,4.84,0.09,0.48,2.78,3.68,1.09,2023-01-31 05:00:00,31,1,2023,January,5
18030,327.11,2.04,4.5,0.04,0.44,2.82,3.68,1.14,2023-01-31 06:00:00,31,1,2023,January,6
18031,340.46,2.93,4.63,0.61,0.57,2.89,3.72,0.94,2023-01-31 07:00:00,31,1,2023,January,7
18032,367.16,5.31,4.88,6.08,0.74,3.04,3.88,0.95,2023-01-31 08:00:00,31,1,2023,January,8
18033,370.5,3.44,7.8,29.68,0.75,3.22,4.03,1.2,2023-01-31 09:00:00,31,1,2023,January,9
18034,330.45,0.43,2.31,47.21,0.47,2.13,2.58,1.01,2023-01-31 10:00:00,31,1,2023,January,10
18035,337.12,0.18,1.19,54.36,0.43,1.97,2.43,0.9,2023-01-31 11:00:00,31,1,2023,January,11
18036,343.8,0.13,0.94,59.37,0.45,2.0,2.55,0.83,2023-01-31 12:00:00,31,1,2023,January,12
18037,337.12,0.11,0.69,50.07,0.35,1.68,2.32,0.63,2023-01-31 13:00:00,31,1,2023,January,13
18038,330.45,0.11,0.61,41.48,0.28,1.47,2.14,0.49,2023-01-31 14:00:00,31,1,2023,January,14
18039,327.11,0.11,0.61,36.84,0.25,1.35,2.03,0.44,2023-01-31 15:00:00,31,1,2023,January,15
18040,350.48,0.52,2.91,43.99,0.39,1.69,2.42,0.63,2023-01-31 16:00:00,31,1,2023,January,16
18041,403.88,0.84,6.77,65.8,0.59,2.65,3.49,0.89,2023-01-31 17:00:00,31,1,2023,January,17
18042,453.95,0.71,10.8,67.23,0.73,3.66,4.59,1.06,2023-01-31 18:00:00,31,1,2023,January,18
18043,473.98,0.11,13.02,38.27,0.84,3.93,4.96,1.19,2023-01-31 19:00:00,31,1,2023,January,19
18044,473.98,0.01,13.19,16.63,0.91,3.97,5.13,1.31,2023-01-31 20:00:00,31,1,2023,January,20
18045,453.95,0.08,12.51,8.14,0.86,4.02,5.28,1.42,2023-01-31 21:00:00,31,1,2023,January,21
18046,423.91,0.36,10.88,3.71,0.82,3.87,5.16,1.47,2023-01-31 22:00:00,31,1,2023,January,22
18047,410.56,1.06,9.77,1.16,0.77,3.85,5.15,1.27,2023-01-31 23:00:00,31,1,2023,January,23
18048,403.88,1.77,8.91,0.33,0.64,3.97,5.19,0.97,2023-02-01 00:00:00,1,2,2023,February,0
18049,393.87,1.76,8.14,0.15,0.51,4.02,5.11,0.79,2023-02-01 01:00:00,1,2,2023,February,1
18050,380.52,1.31,7.2,0.2,0.48,3.92,4.89,0.81,2023-02-01 02:00:00,1,2,2023,February,2
18051,350.48,0.75,5.23,0.5,0.46,3.56,4.41,0.93,2023-02-01 03:00:00,1,2,2023,February,3
18052,317.1,0.22,3.34,1.56,0.38,3.31,3.96,0.7,2023-02-01 04:00:00,1,2,2023,February,4
18053,303.75,0.1,2.4,2.44,0.32,3.39,3.88,0.49,2023-02-01 05:00:00,1,2,2023,February,5
18054,293.73,0.13,2.21,2.66,0.31,3.42,3.79,0.39,2023-02-01 06:00:00,1,2,2023,February,6
18055,290.39,0.45,2.63,2.55,0.35,3.25,3.57,0.36,2023-02-01 07:00:00,1,2,2023,February,7
18056,300.41,1.22,3.38,5.9,0.4,3.0,3.33,0.39,2023-02-01 08:00:00,1,2,2023,February,8
18057,300.41,1.01,3.26,18.78,0.38,2.67,2.98,0.44,2023-02-01 09:00:00,1,2,2023,February,9
18058,283.72,0.21,0.99,21.82,0.2,1.77,1.93,0.31,2023-02-01 10:00:00,1,2,2023,February,10
18059,280.38,0.13,0.79,21.64,0.19,1.39,1.52,0.32,2023-02-01 11:00:00,1,2,2023,February,11
18060,280.38,0.08,0.9,21.1,0.21,1.24,1.36,0.36,2023-02-01 12:00:00,1,2,2023,February,12
18061,280.38,0.08,1.31,18.78,0.25,1.15,1.26,0.4,2023-02-01 13:00:00,1,2,2023,February,13
18062,287.06,0.15,2.01,18.42,0.31,1.18,1.3,0.44,2023-02-01 14:00:00,1,2,2023,February,14
18063,293.73,0.21,2.46,19.13,0.36,1.24,1.37,0.45,2023-02-01 15:00:00,1,2,2023,February,15
18064,317.1,0.55,4.28,21.82,0.46,1.51,1.68,0.59,2023-02-01 16:00:00,1,2,2023,February,16
18065,360.49,1.12,7.8,31.11,0.58,2.05,2.29,0.82,2023-02-01 17:00:00,1,2,2023,February,17
18066,383.85,1.09,10.37,33.97,0.63,2.42,2.72,0.97,2023-02-01 18:00:00,1,2,2023,February,18
18067,387.19,0.2,11.65,20.56,0.69,2.46,2.83,1.06,2023-02-01 19:00:00,1,2,2023,February,19
18068,370.5,0.1,10.11,9.12,0.69,2.35,2.79,1.01,2023-02-01 20:00:00,1,2,2023,February,20
18069,337.12,0.26,7.45,4.29,0.58,2.04,2.5,0.83,2023-02-01 21:00:00,1,2,2023,February,21
18070,313.76,0.62,5.91,2.01,0.55,1.93,2.44,0.71,2023-02-01 22:00:00,1,2,2023,February,22
18071,307.08,1.42,5.23,0.7,0.53,1.97,2.55,0.68,2023-02-01 23:00:00,1,2,2023,February,23
18072,297.07,2.01,4.28,0.27,0.42,1.89,2.45,0.69,2023-02-02 00:00:00,2,2,2023,February,0
18073,277.04,1.63,3.38,0.27,0.33,1.67,2.14,0.65,2023-02-02 01:00:00,2,2,2023,February,1
18074,257.02,0.81,2.78,0.45,0.28,1.44,1.79,0.51,2023-02-02 02:00:00,2,2,2023,February,2
18075,243.66,0.26,2.33,0.96,0.28,1.26,1.51,0.42,2023-02-02 03:00:00,2,2,2023,February,3
18076,233.65,0.14,1.93,1.26,0.25,1.2,1.41,0.38,2023-02-02 04:00:00,2,2,2023,February,4
18077,226.97,0.32,1.86,0.84,0.25,1.27,1.51,0.52,2023-02-02 05:00:00,2,2,2023,February,5
18078,233.65,1.09,2.1,0.39,0.34,1.45,1.75,0.88,2023-02-02 06:00:00,2,2,2023,February,6
18079,273.7,5.09,2.51,0.09,0.69,2.01,2.49,1.31,2023-02-02 07:00:00,2,2,2023,February,7
18080,363.83,14.08,3.3,0.53,0.88,2.89,3.62,1.04,2023-02-02 08:00:00,2,2,2023,February,8
18081,433.92,18.33,7.11,4.02,0.83,3.51,4.38,0.86,2023-02-02 09:00:00,2,2,2023,February,9
18082,287.06,0.34,3.08,15.91,0.31,1.1,1.26,0.51,2023-02-02 10:00:00,2,2,2023,February,10
18083,287.06,0.11,1.74,13.95,0.24,0.74,0.85,0.44,2023-02-02 11:00:00,2,2,2023,February,11
18084,287.06,0.06,1.27,11.62,0.2,0.56,0.65,0.39,2023-02-02 12:00:00,2,2,2023,February,12
18085,283.72,0.06,1.06,10.1,0.17,0.5,0.57,0.33,2023-02-02 13:00:00,2,2,2023,February,13
18086,277.04,0.1,0.92,10.91,0.15,0.5,0.55,0.29,2023-02-02 14:00:00,2,2,2023,February,14
18087,267.03,0.12,0.82,11.98,0.13,0.5,0.55,0.28,2023-02-02 15:00:00,2,2,2023,February,15
18088,257.02,0.14,0.94,12.7,0.14,0.5,0.54,0.29,2023-02-02 16:00:00,2,2,2023,February,16
18089,250.34,0.13,1.44,11.98,0.15,0.5,0.55,0.33,2023-02-02 17:00:00,2,2,2023,February,17
18090,247.0,0.07,1.91,10.37,0.17,0.5,0.55,0.37,2023-02-02 18:00:00,2,2,2023,February,18
18091,273.7,0.49,5.1,5.68,0.4,0.73,0.89,0.68,2023-02-02 19:00:00,2,2,2023,February,19
18092,303.75,1.62,6.94,1.52,0.63,1.2,1.55,0.87,2023-02-02 20:00:00,2,2,2023,February,20
18093,313.76,2.79,6.17,0.42,0.69,1.5,2.0,0.8,2023-02-02 21:00:00,2,2,2023,February,21
18094,307.08,3.35,5.1,0.25,0.66,1.65,2.24,0.69,2023-02-02 22:00:00,2,2,2023,February,22
18095,293.73,3.07,4.33,0.28,0.55,1.59,2.15,0.58,2023-02-02 23:00:00,2,2,2023,February,23
18096,273.7,1.9,3.81,0.58,0.39,1.36,1.78,0.46,2023-02-03 00:00:00,3,2,2023,February,0
18097,253.68,0.55,3.17,1.31,0.3,1.12,1.4,0.43,2023-02-03 01:00:00,3,2,2023,February,1
18098,240.33,0.23,2.46,1.56,0.28,1.06,1.3,0.5,2023-02-03 02:00:00,3,2,2023,February,2
18099,230.31,0.13,1.88,1.79,0.29,1.04,1.27,0.63,2023-02-03 03:00:00,3,2,2023,February,3
18100,223.64,0.14,1.65,1.61,0.32,1.08,1.34,0.86,2023-02-03 04:00:00,3,2,2023,February,4
18101,216.96,0.33,1.78,1.06,0.35,1.16,1.48,1.14,2023-02-03 05:00:00,3,2,2023,February,5
18102,220.3,1.1,2.14,0.47,0.45,1.32,1.66,1.5,2023-02-03 06:00:00,3,2,2023,February,6
18103,257.02,5.14,2.68,0.15,0.74,1.79,2.27,1.66,2023-02-03 07:00:00,3,2,2023,February,7
18104,350.48,14.53,3.47,0.72,0.89,2.66,3.41,1.14,2023-02-03 08:00:00,3,2,2023,February,8
18105,427.25,19.45,7.03,3.62,0.82,3.33,4.22,0.83,2023-02-03 09:00:00,3,2,2023,February,9
18106,240.33,0.61,2.57,23.96,0.31,0.91,1.05,0.35,2023-02-03 10:00:00,3,2,2023,February,10
18107,233.65,0.17,1.44,26.82,0.24,0.65,0.75,0.3,2023-02-03 11:00:00,3,2,2023,February,11
18108,230.31,0.07,1.3,23.96,0.22,0.55,0.64,0.29,2023-02-03 12:00:00,3,2,2023,February,12
18109,236.99,0.03,1.97,20.03,0.27,0.57,0.66,0.34,2023-02-03 13:00:00,3,2,2023,February,13
18110,247.0,0.08,3.13,18.42,0.37,0.72,0.83,0.42,2023-02-03 14:00:00,3,2,2023,February,14
18111,253.68,0.2,3.13,19.49,0.38,0.82,0.95,0.4,2023-02-03 15:00:00,3,2,2023,February,15
18112,267.03,0.38,4.11,22.89,0.41,1.02,1.2,0.46,2023-02-03 16:00:00,3,2,2023,February,16
18113,293.73,0.36,7.71,17.52,0.48,1.29,1.54,0.59,2023-02-03 17:00:00,3,2,2023,February,17
18114,320.43,0.31,11.48,9.75,0.59,1.52,1.84,0.75,2023-02-03 18:00:00,3,2,2023,February,18
18115,333.79,0.71,12.34,3.76,0.72,1.7,2.12,0.91,2023-02-03 19:00:00,3,2,2023,February,19
18116,340.46,1.93,11.48,0.96,0.84,1.93,2.48,0.95,2023-02-03 20:00:00,3,2,2023,February,20
18117,347.14,3.3,10.2,0.24,0.89,2.17,2.84,0.92,2023-02-03 21:00:00,3,2,2023,February,21
18118,350.48,5.25,8.48,0.08,0.9,2.47,3.28,0.93,2023-02-03 22:00:00,3,2,2023,February,22
18119,360.49,8.05,6.85,0.02,0.88,2.84,3.8,1.14,2023-02-03 23:00:00,3,2,2023,February,23
18120,363.83,9.95,5.74,0.01,0.75,3.04,4.05,1.47,2023-02-04 00:00:00,4,2,2023,February,0
18121,337.12,8.83,5.18,0.01,0.59,2.98,3.91,1.8,2023-02-04 01:00:00,4,2,2023,February,1
18122,310.42,7.26,4.28,0.01,0.47,2.88,3.59,1.74,2023-02-04 02:00:00,4,2,2023,February,2
18123,290.39,6.2,3.38,0.01,0.39,2.83,3.41,1.47,2023-02-04 03:00:00,4,2,2023,February,3
18124,273.7,4.97,2.91,0.01,0.35,2.76,3.22,1.27,2023-02-04 04:00:00,4,2,2023,February,4
18125,260.35,3.91,2.83,0.02,0.35,2.7,3.08,1.22,2023-02-04 05:00:00,4,2,2023,February,5
18126,257.02,3.24,3.17,0.03,0.41,2.66,2.99,1.3,2023-02-04 06:00:00,4,2,2023,February,6
18127,260.35,2.63,4.8,0.28,0.63,2.48,2.81,1.39,2023-02-04 07:00:00,4,2,2023,February,7
18128,273.7,4.14,4.71,3.35,0.7,2.4,2.8,1.23,2023-02-04 08:00:00,4,2,2023,February,8
18129,290.39,3.21,6.68,20.74,0.73,2.57,3.02,0.97,2023-02-04 09:00:00,4,2,2023,February,9
18130,243.66,0.38,3.26,32.54,0.42,1.46,1.68,0.48,2023-02-04 10:00:00,4,2,2023,February,10
18131,230.31,0.16,1.88,30.04,0.33,0.92,1.07,0.42,2023-02-04 11:00:00,4,2,2023,February,11
18132,226.97,0.1,1.48,28.25,0.31,0.71,0.84,0.42,2023-02-04 12:00:00,4,2,2023,February,12
18133,223.64,0.08,1.15,25.39,0.25,0.54,0.64,0.35,2023-02-04 13:00:00,4,2,2023,February,13
18134,226.97,0.1,1.01,25.03,0.23,0.5,0.58,0.32,2023-02-04 14:00:00,4,2,2023,February,14
18135,226.97,0.1,0.82,24.32,0.2,0.5,0.57,0.32,2023-02-04 15:00:00,4,2,2023,February,15
18136,240.33,0.2,1.61,23.6,0.27,0.5,0.59,0.42,2023-02-04 16:00:00,4,2,2023,February,16
18137,260.35,0.28,3.38,22.35,0.37,0.64,0.77,0.59,2023-02-04 17:00:00,4,2,2023,February,17
18138,273.7,0.17,5.14,16.63,0.42,0.73,0.89,0.72,2023-02-04 18:00:00,4,2,2023,February,18
18139,273.7,0.07,5.31,9.83,0.43,0.73,0.92,0.76,2023-02-04 19:00:00,4,2,2023,February,19
18140,267.03,0.12,4.71,6.08,0.45,0.77,1.0,0.72,2023-02-04 20:00:00,4,2,2023,February,20
18141,260.35,0.14,4.16,4.74,0.45,0.83,1.1,0.61,2023-02-04 21:00:00,4,2,2023,February,21
18142,250.34,0.15,3.64,4.2,0.44,0.87,1.18,0.49,2023-02-04 22:00:00,4,2,2023,February,22
18143,247.0,0.17,3.64,3.58,0.42,0.91,1.24,0.46,2023-02-04 23:00:00,4,2,2023,February,23
18144,247.0,0.13,3.86,3.0,0.39,0.95,1.27,0.48,2023-02-05 00:00:00,5,2,2023,February,0
18145,243.66,0.08,4.16,2.35,0.39,1.02,1.34,0.59,2023-02-05 01:00:00,5,2,2023,February,1
18146,236.99,0.06,3.94,1.81,0.37,1.08,1.42,0.66,2023-02-05 02:00:00,5,2,2023,February,2
18147,230.31,0.06,3.38,1.52,0.35,1.13,1.47,0.67,2023-02-05 03:00:00,5,2,2023,February,3
18148,220.3,0.08,2.78,1.21,0.32,1.17,1.48,0.68,2023-02-05 04:00:00,5,2,2023,February,4
18149,211.95,0.17,2.31,0.85,0.3,1.22,1.5,0.69,2023-02-05 05:00:00,5,2,2023,February,5
18150,206.95,0.5,2.21,0.54,0.32,1.3,1.57,0.72,2023-02-05 06:00:00,5,2,2023,February,6
18151,220.3,2.15,2.38,0.48,0.44,1.49,1.79,0.71,2023-02-05 07:00:00,5,2,2023,February,7
18152,260.35,4.64,3.9,3.31,0.54,1.81,2.19,0.6,2023-02-05 08:00:00,5,2,2023,February,8
18153,290.39,3.1,7.63,12.87,0.59,2.05,2.44,0.59,2023-02-05 09:00:00,5,2,2023,February,9
18154,260.35,0.21,1.74,22.89,0.24,0.71,0.82,0.25,2023-02-05 10:00:00,5,2,2023,February,10
18155,267.03,0.11,0.9,26.11,0.19,0.5,0.58,0.23,2023-02-05 11:00:00,5,2,2023,February,11
18156,270.37,0.09,0.69,27.54,0.18,0.5,0.57,0.24,2023-02-05 12:00:00,5,2,2023,February,12
18157,277.04,0.09,0.69,29.68,0.18,0.5,0.57,0.26,2023-02-05 13:00:00,5,2,2023,February,13
18158,283.72,0.12,0.86,31.47,0.2,0.5,0.57,0.3,2023-02-05 14:00:00,5,2,2023,February,14
18159,290.39,0.14,0.97,31.83,0.21,0.5,0.57,0.34,2023-02-05 15:00:00,5,2,2023,February,15
18160,313.76,0.4,2.96,32.54,0.32,0.69,0.81,0.6,2023-02-05 16:00:00,5,2,2023,February,16
18161,360.49,0.73,7.45,33.97,0.51,1.28,1.47,1.0,2023-02-05 17:00:00,5,2,2023,February,17
18162,407.22,0.57,12.51,27.89,0.68,1.9,2.17,1.35,2023-02-05 18:00:00,5,2,2023,February,18
18163,423.91,0.1,13.88,16.45,0.83,2.24,2.59,1.54,2023-02-05 19:00:00,5,2,2023,February,19
18164,413.89,0.12,12.51,8.14,0.82,2.39,2.85,1.35,2023-02-05 20:00:00,5,2,2023,February,20
18165,400.54,0.2,11.31,4.52,0.75,2.49,3.01,1.14,2023-02-05 21:00:00,5,2,2023,February,21
18166,380.52,0.27,9.94,2.86,0.66,2.51,3.09,0.9,2023-02-05 22:00:00,5,2,2023,February,22
18167,360.49,0.45,8.23,1.79,0.54,2.43,3.05,0.67,2023-02-05 23:00:00,5,2,2023,February,23
18168,333.79,0.5,6.43,1.39,0.39,2.18,2.76,0.54,2023-02-06 00:00:00,6,2,2023,February,0
18169,297.07,0.28,4.5,1.88,0.3,1.75,2.22,0.53,2023-02-06 01:00:00,6,2,2023,February,1
18170,270.37,0.11,3.0,2.15,0.28,1.41,1.78,0.56,2023-02-06 02:00:00,6,2,2023,February,2
18171,250.34,0.07,2.18,2.06,0.31,1.28,1.59,0.64,2023-02-06 03:00:00,6,2,2023,February,3
18172,240.33,0.06,1.8,1.86,0.32,1.24,1.5,0.73,2023-02-06 04:00:00,6,2,2023,February,4
18173,233.65,0.12,1.8,1.45,0.34,1.26,1.48,0.85,2023-02-06 05:00:00,6,2,2023,February,5
18174,233.65,0.39,2.25,0.99,0.39,1.37,1.59,1.03,2023-02-06 06:00:00,6,2,2023,February,6
18175,260.35,2.46,3.21,0.78,0.62,1.79,2.1,1.2,2023-02-06 07:00:00,6,2,2023,February,7
18176,310.42,5.98,4.71,5.72,0.74,2.29,2.72,0.93,2023-02-06 08:00:00,6,2,2023,February,8
18177,323.77,3.41,7.45,30.4,0.7,2.57,3.0,0.74,2023-02-06 09:00:00,6,2,2023,February,9
18178,293.73,0.29,1.76,29.33,0.29,1.4,1.54,0.47,2023-02-06 10:00:00,6,2,2023,February,10
18179,293.73,0.18,1.3,31.11,0.27,1.25,1.37,0.46,2023-02-06 11:00:00,6,2,2023,February,11
18180,300.41,0.15,1.41,35.76,0.32,1.33,1.45,0.49,2023-02-06 12:00:00,6,2,2023,February,12
18181,300.41,0.13,1.48,37.19,0.32,1.35,1.48,0.5,2023-02-06 13:00:00,6,2,2023,February,13
18182,307.08,0.13,1.76,37.19,0.32,1.47,1.59,0.5,2023-02-06 14:00:00,6,2,2023,February,14
18183,313.76,0.12,2.18,37.55,0.37,1.71,1.83,0.51,2023-02-06 15:00:00,6,2,2023,February,15
18184,320.43,0.12,2.48,36.12,0.39,1.81,1.95,0.53,2023-02-06 16:00:00,6,2,2023,February,16
18185,327.11,0.09,3.13,32.54,0.4,1.74,1.88,0.56,2023-02-06 17:00:00,6,2,2023,February,17
18186,330.45,0.04,3.9,28.61,0.43,1.7,1.86,0.61,2023-02-06 18:00:00,6,2,2023,February,18
18187,390.53,0.14,12.0,14.66,0.75,2.53,2.89,0.95,2023-02-06 19:00:00,6,2,2023,February,19
18188,467.3,1.29,18.34,2.73,1.06,3.88,4.55,1.16,2023-02-06 20:00:00,6,2,2023,February,20
18189,500.68,3.69,17.31,0.23,1.21,4.83,5.77,1.39,2023-02-06 21:00:00,6,2,2023,February,21
18190,487.33,5.53,13.71,0.08,1.24,5.14,6.25,1.54,2023-02-06 22:00:00,6,2,2023,February,22
18191,447.27,6.48,9.25,0.05,0.89,4.73,5.83,0.97,2023-02-06 23:00:00,6,2,2023,February,23
18192,397.21,5.53,6.17,0.12,0.5,3.72,4.58,0.59,2023-02-07 00:00:00,7,2,2023,February,0
18193,327.11,0.82,4.97,1.16,0.35,2.19,2.65,0.49,2023-02-07 01:00:00,7,2,2023,February,1
18194,303.75,0.19,3.38,1.39,0.3,1.75,2.11,0.51,2023-02-07 02:00:00,7,2,2023,February,2
18195,293.73,0.13,2.29,1.36,0.3,1.59,1.91,0.59,2023-02-07 03:00:00,7,2,2023,February,3
18196,283.72,0.13,1.8,1.2,0.32,1.55,1.85,0.74,2023-02-07 04:00:00,7,2,2023,February,4
18197,277.04,0.23,1.76,0.91,0.36,1.57,1.88,0.95,2023-02-07 05:00:00,7,2,2023,February,5
